id,label,timeset,eigencentrality,clustering,pageranks,modularity_class,authority,hub,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
2,Australia,,0.9247285460684928,0.3890756368637085,0.025297884427796295,2,0.17676425,0.23860523,2.0,0.96875,0.9838709677419355,5.094599844599845
3,Austria,,0.998413605919231,0.6929824352264404,0.026146072340459826,3,0.19603565,0.0,0.0,0.0,0.0,0.0
4,Bahamas,,0.9302386030016214,0.6895424723625183,0.027250862845305833,4,0.1865734,0.0,0.0,0.0,0.0,0.0
5,Belgium,,0.0,0.4092741906642914,0.014040262701460159,3,0.0,0.25471547,1.0,1.0,1.0,0.0
6,Bermuda,,0.995240817757693,0.9047619104385376,0.024593918615957097,3,0.1601797,0.0,0.0,0.0,0.0,0.0
7,Brazil,,0.0,0.5138339996337891,0.014040262701460159,4,0.0,0.19489895,2.0,0.7804878048780488,0.859375,0.0
8,Canada,,1.0,0.5833333134651184,0.034331223898039,4,0.20159066,0.0,0.0,0.0,0.0,0.0
9,Cayman Islands,,0.998413605919231,0.6929824352264404,0.029706416619762404,4,0.19603565,0.0,0.0,0.0,0.0,0.0
10,Chile,,0.0,0.4458874464035034,0.014040262701460159,4,0.0,0.18570136,2.0,0.7619047619047619,0.84375,0.0
11,China,,0.9359028743944737,0.6764705777168274,0.02654083100359768,2,0.18301083,0.0,0.0,0.0,0.0,0.0
12,Denmark,,0.9252817860985414,0.38333332538604736,0.024782894935453693,3,0.18484816,0.24631995,1.0,1.0,1.0,6.383488733488734
13,Finland,,0.0,0.46296295523643494,0.014040262701460159,4,0.0,0.22224993,2.0,0.8648648648648649,0.921875,0.0
14,France,,0.8581463571413027,0.370120108127594,0.031793588378267075,3,0.17794216,0.2466336,1.0,1.0,1.0,10.350155400155401
15,Germany,,0.9992068029596154,0.6394736766815186,0.03543322542086158,4,0.199981,0.0,0.0,0.0,0.0,0.0
16,Greece,,0.0,0.5,0.014040262701460159,4,0.0,0.03544051,2.0,0.5333333333333333,0.5625,0.0
17,Guernsey,,0.792769700565072,0.5061538219451904,0.023545241148293518,4,0.1507371,0.18703407,2.0,0.775,0.8548387096774194,0.24358974358974356
18,Hong Kong,,0.998413605919231,0.6929824352264404,0.03117084371434476,2,0.19603565,0.0,0.0,0.0,0.0,0.0
19,Ireland,,0.9258350261285894,0.3777777850627899,0.03187869883704131,4,0.18671304,0.24070038,2.0,0.96875,0.9838709677419355,18.883488733488733
20,Isle of Man,,0.0,0.5411255359649658,0.014040262701460159,4,0.0,0.1866052,2.0,0.7619047619047619,0.84375,0.0
21,Israel,,0.8601515064422964,0.8406593203544617,0.02247792956268003,3,0.15231311,0.0,0.0,0.0,0.0,0.0
22,Japan,,1.0,0.5833333134651184,0.0329828350839366,4,0.20159066,0.0,0.0,0.0,0.0,0.0
23,Jersey,,0.8608600290196832,0.39304813742637634,0.02542493222199714,3,0.15804428,0.24753734,1.0,1.0,1.0,3.656721056721057
24,Jordan,,0.6452329498626388,0.8090909123420715,0.019402249635970904,3,0.12186346,0.0,0.0,0.0,0.0,0.0
25,Luxembourg,,0.9247285460684928,0.38823530077934265,0.028023532930563182,3,0.17639643,0.24670382,1.0,1.0,1.0,5.177933177933178
26,Macao,,0.0,0.0,0.014040262701460159,0,0.0,0.0,0.0,0.0,0.0,0.0
27,Mexico,,0.0,0.6000000238418579,0.014040262701460159,4,0.0,0.08686635,2.0,0.5925925925925926,0.65625,0.0
28,Morocco,,0.7911833064843031,0.9090909361839294,0.01936335799581701,3,0.13275659,0.0,0.0,0.0,0.0,0.0
29,Netherlands,,0.9258350261285894,0.4537634551525116,0.030892202187877964,4,0.19051495,0.20841783,2.0,0.8378378378378378,0.9032258064516129,4.938791763791763
30,New Zealand,,0.8601515064422964,0.8296703100204468,0.021727347228838123,3,0.15065312,0.0,0.0,0.0,0.0,0.0
31,Norway,,0.998413605919231,0.6929824352264404,0.02618404668222483,3,0.19603565,0.0,0.0,0.0,0.0,0.0
32,Qatar,,0.649396569725334,0.8888888955116272,0.018312317981344972,3,0.11170979,0.0,0.0,0.0,0.0,0.0
33,Singapore,,0.998413605919231,0.6929824352264404,0.030215970248464574,2,0.19603565,0.0,0.0,0.0,0.0,0.0
34,South Africa,,0.996827211838462,0.7904411554336548,0.024603588912305217,3,0.17874932,0.0,0.0,0.0,0.0,0.0
35,South Korea,,0.8661414773960967,0.44581282138824463,0.022631848279730107,2,0.15950896,0.20833434,2.0,0.8378378378378378,0.9032258064516129,1.2914141414141413
36,Spain,,0.0,0.0,0.014040262701460159,1,0.0,0.0,0.0,0.0,0.0,0.0
37,Sweden,,0.9263882661586381,0.3520625829696655,0.028782971633446626,3,0.19041465,0.24606712,1.0,1.0,1.0,24.933488733488733
38,Switzerland,,0.9258350261285894,0.36936935782432556,0.03194379926717461,3,0.18880166,0.24614039,1.0,1.0,1.0,10.433488733488733
39,Taiwan,,0.8666947174261449,0.40463459491729736,0.02359266026157081,2,0.16807382,0.24200812,2.0,0.96875,0.9838709677419355,3.5991452991452992
40,UAE,,0.7883661236920406,0.699999988079071,0.02223343908042115,3,0.1595443,0.0,0.0,0.0,0.0,0.0
41,UK,,0.9258350261285894,0.36936935782432556,0.03601419466638535,3,0.18880166,0.24614039,1.0,1.0,1.0,10.433488733488733
42,US,,0.9258350261285894,0.40998217463493347,0.0363566723880268,4,0.18992586,0.22138824,2.0,0.8857142857142857,0.9354838709677419,6.580205905205906
