id,label,timeset,eigencentrality,clustering,pageranks,modularity_class,authority,hub,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum
2,Australia,,0.9260575078180573,0.39747899770736694,0.026158027144728025,3,0.17916141,0.23726779,2.0,0.96875,0.9838709677419355,5.094599844599845,0,18
3,Austria,,0.998431334756683,0.6929824352264404,0.026540685647334722,2,0.1918955,0.0,0.0,0.0,0.0,0.0,0,7
4,Bahamas,,0.930921709010918,0.686274528503418,0.026888424169699263,2,0.18241388,0.0,0.0,0.0,0.0,0.0,0,0
5,Belgium,,0.0,0.41633063554763794,0.014028257209670087,2,0.0,0.25104588,1.0,1.0,1.0,0.0,0,19
6,Bermuda,,0.9960783368917079,0.8541666865348816,0.02467910259622709,2,0.16773415,0.0,0.0,0.0,0.0,0.0,0,13
7,Brazil,,0.0,0.44805195927619934,0.014028257209670087,3,0.0,0.18293478,2.0,0.7804878048780488,0.859375,0.0,0,20
8,Canada,,1.0,0.5904762148857117,0.03242653599638076,3,0.19948278,0.0,0.0,0.0,0.0,0.0,0,11
9,Cayman Islands,,0.9992156673783414,0.6473684310913086,0.030700113848779548,3,0.19794397,0.0,0.0,0.0,0.0,0.0,0,16
10,Chile,,0.0,0.4690476059913635,0.014028257209670087,3,0.0,0.1747014,2.0,0.7619047619047619,0.84375,0.0,0,21
11,China,,0.936467201075782,0.686274528503418,0.026521445534570677,3,0.18033239,0.0,0.0,0.0,0.0,0.0,0,9
12,Denmark,,0.9255088735549094,0.38991597294807434,0.02485915806457034,2,0.17107843,0.24339889,1.0,1.0,1.0,6.383488733488734,0,18
13,Finland,,0.0,0.4322659969329834,0.014028257209670087,2,0.0,0.2313108,2.0,0.8648648648648649,0.921875,0.0,0,22
14,France,,0.9266061420812044,0.3791291415691376,0.032062760735772786,2,0.18709634,0.2426829,1.0,1.0,1.0,10.350155400155401,0,18
15,Germany,,0.9992156673783414,0.6473684310913086,0.034627971854253606,2,0.19794397,0.0,0.0,0.0,0.0,0.0,0,17
16,Greece,,0.0,0.5,0.014028257209670087,2,0.0,0.034426183,2.0,0.5333333333333333,0.5625,0.0,0,23
17,Guernsey,,0.794779384789561,0.4367816150188446,0.023460258474579367,2,0.14700636,0.21110502,2.0,0.775,0.8548387096774194,0.24358974358974356,0,18
18,Hong Kong,,0.998431334756683,0.6929824352264404,0.030263112293054274,3,0.1918955,0.0,0.0,0.0,0.0,0.0,0,14
19,Ireland,,0.9266061420812044,0.370120108127594,0.0312522140914576,2,0.18257765,0.24288487,2.0,0.96875,0.9838709677419355,18.883488733488733,0,18
20,Isle of Man,,0.0,0.5432900190353394,0.014028257209670087,2,0.0,0.18290062,2.0,0.7619047619047619,0.84375,0.0,0,24
21,Israel,,0.9234688115945708,0.8428571224212646,0.023031428899161946,2,0.15860498,0.0,0.0,0.0,0.0,0.0,0,3
22,Japan,,1.0,0.5904762148857117,0.0318522299599035,3,0.19948278,0.0,0.0,0.0,0.0,0.0,0,10
23,Jersey,,0.9249602392917623,0.4001782536506653,0.02554827493494878,2,0.16501784,0.24366978,1.0,1.0,1.0,3.656721056721057,0,18
24,Jordan,,0.8551748532271468,0.9102563858032227,0.020267984622545452,2,0.13878405,0.0,0.0,0.0,0.0,0.0,0,2
25,Luxembourg,,0.9260575078180573,0.3849206268787384,0.028895101694882314,2,0.17927176,0.24303265,1.0,1.0,1.0,5.177933177933178,0,18
26,Macao,,0.0,0.0,0.014028257209670087,0,0.0,0.0,0.0,0.0,0.0,0.0,1,25
27,Mexico,,0.0,0.5625,0.014028257209670087,3,0.0,0.13531603,2.0,0.5925925925925926,0.65625,0.0,0,26
28,Morocco,,0.7216212252292762,0.8333333134651184,0.0198327619511661,2,0.12908164,0.0,0.0,0.0,0.0,0.0,0,6
29,Netherlands,,0.9266061420812043,0.46236559748649597,0.031243543000243217,3,0.1888148,0.20423724,2.0,0.8378378378378378,0.9032258064516129,4.938791763791763,0,18
30,New Zealand,,0.9226844789729124,0.906593382358551,0.021537327233415685,2,0.14826567,0.0,0.0,0.0,0.0,0.0,0,4
31,Norway,,0.9992156673783414,0.6473684310913086,0.02544956150334601,2,0.19794397,0.0,0.0,0.0,0.0,0.0,0,8
32,Qatar,,0.6536402027664883,0.8181818127632141,0.01911824029406958,2,0.119045086,0.0,0.0,0.0,0.0,0.0,0,1
33,Singapore,,0.9992156673783414,0.6473684310913086,0.030388569949652503,2,0.19794397,0.0,0.0,0.0,0.0,0.0,0,15
34,South Africa,,0.9976470021350247,0.741830050945282,0.024447849157483947,2,0.18408656,0.0,0.0,0.0,0.0,0.0,0,5
35,South Korea,,0.8673889100866992,0.4445812702178955,0.022082229722402168,3,0.154463,0.21212244,2.0,0.8378378378378378,0.9032258064516129,1.2914141414141413,0,18
36,Spain,,0.0,0.0,0.014028257209670087,1,0.0,0.0,0.0,0.0,0.0,0.0,2,27
37,Sweden,,0.9271547763443524,0.36130866408348083,0.028901733386769206,2,0.18863823,0.24261399,1.0,1.0,1.0,24.933488733488733,0,18
38,Switzerland,,0.9266061420812043,0.3791291415691376,0.032416453832745086,2,0.18709634,0.2426829,1.0,1.0,1.0,10.433488733488733,0,18
39,Taiwan,,0.8679375443498468,0.40998217463493347,0.02363464384172591,3,0.16362725,0.23841077,2.0,0.96875,0.9838709677419355,3.5991452991452992,0,18
40,UAE,,0.85242795154075,0.699999988079071,0.023565263081727645,2,0.16460544,0.0,0.0,0.0,0.0,0.0,0,12
41,UK,,0.9266061420812043,0.3791291415691376,0.035655770452414935,2,0.18709634,0.2426829,1.0,1.0,1.0,10.433488733488733,0,18
42,US,,0.9266061420812043,0.4042016863822937,0.0354368698900545,3,0.18795851,0.22339451,2.0,0.8857142857142857,0.9354838709677419,6.580205905205906,0,18
