id,label,timeset,pageranks,eigencentrality,authority,hub,weighted degree,clustering,modularity_class
2,Australia,,0.02737617476128795,0.8923657620698502,0.1726737,0.20704044,337.59999999999997,0.48221907019615173,2
3,Austria,,0.024541714816750757,0.9432504633129473,0.18410558,0.20660768,287.74,0.47165992856025696,0
4,Bahamas,,0.025816530082611394,0.8358061591018631,0.16570958,0.0,129.85999999999999,0.6558441519737244,1
5,Belgium,,0.011592525785123172,0.0,0.0,0.21357718,245.22000000000003,0.538306474685669,1
6,Bermuda,,0.025153542250572435,0.9454303507370286,0.17428893,0.0,119.94,0.717391312122345,1
7,Brazil,,0.011592525785123172,0.0,0.0,0.15748371,131.60999999999999,0.5138339996337891,2
8,Canada,,0.033797406727380505,0.9437071104773584,0.18613489,0.1806634,351.22999999999996,0.4797297418117523,2
9,Cayman Islands,,0.030059610248591443,0.7788047026621561,0.15994096,0.0,167.7,0.6428571343421936,2
10,Chile,,0.011592525785123172,0.0,0.0,0.17786862,65.73,0.5615384578704834,2
11,China,,0.030947371687314554,0.9433945185568536,0.1808812,0.0,164.34,0.625,2
12,Denmark,,0.0244192609838662,0.9427938161485352,0.17932312,0.17545642,270.99,0.5329768061637878,0
13,Finland,,0.011592525785123172,0.0,0.0,0.14398734,89.1,0.6000000238418579,0
14,France,,0.03486159024997258,0.9432504633129472,0.18410558,0.20660768,480.63,0.47165992856025696,2
15,Germany,,0.03688609693390058,1.0,0.19192693,0.0,222.2,0.6523076891899109,0
16,Greece,,0.011592525785123172,0.0,0.0,0.027661584,15.149999999999999,0.6666666865348816,0
17,Guernsey,,0.022684656194864115,0.8370638160557731,0.1386244,0.20832941,239.92000000000002,0.5178253054618835,1
18,Hong Kong,,0.031109475954025564,0.9432504633129472,0.18410558,0.20660768,423.3399999999999,0.47165992856025696,2
19,Ireland,,0.03133917204846749,0.9437071104773584,0.18515424,0.20656799,317.76,0.44999998807907104,0
20,Isle of Man,,0.011592525785123172,0.0,0.0,0.21357718,173.98,0.538306474685669,1
21,Israel,,0.0237963875730553,0.9993992975916817,0.18596521,0.0,108.72000000000001,0.6866666674613953,1
22,Japan,,0.03124543326037775,0.9460310531453469,0.18102235,0.0,175.06,0.6847826242446899,2
23,Jersey,,0.025395800218095253,0.9414238746553014,0.15917823,0.20755133,314.95000000000005,0.5100840330123901,1
24,Jordan,,0.019054169328181235,0.8336914599564035,0.1403204,0.0,70.25999999999999,0.826797366142273,1
25,Luxembourg,,0.031970783702059975,0.9432504633129472,0.18410558,0.20660768,419.59,0.47165992856025696,0
26,Macao,,0.011592525785123172,0.0,0.0,0.19654378,117.3,0.5628078579902649,2
27,Mexico,,0.011592525785123172,0.0,0.0,0.1781934,55.88999999999999,0.5646153688430786,2
28,Morocco,,0.017607022318174313,0.8914983462161865,0.15985365,0.14406615,244.23999999999995,0.5954023003578186,0
29,Netherlands,,0.03373759381659504,0.9466317555536652,0.18647315,0.0,193.99,0.6499999761581421,2
30,New Zealand,,0.020692889869006127,0.9425057056607216,0.17912601,0.0,87.96000000000001,0.6739130616188049,1
31,Norway,,0.025502629801332072,1.0,0.19192693,0.0,123.96999999999998,0.6523076891899109,0
32,Qatar,,0.022142317213275958,0.9981978927750451,0.17100744,0.0,100.58,0.7450593113899231,1
33,Singapore,,0.0314455209594117,0.9427938161485352,0.17983404,0.0,176.93,0.6739130616188049,2
34,South Africa,,0.02274872844291198,0.8888618116276936,0.16669367,0.18963033,229.58999999999995,0.5235294103622437,1
35,South Korea,,0.023679302371618152,0.8928224092342618,0.17864397,0.20681444,252.28999999999996,0.47233468294143677,2
36,Spain,,0.011592525785123172,0.0,0.0,0.21357718,188.13,0.538306474685669,0
37,Sweden,,0.027182176688677683,0.889979833368274,0.17853478,0.20076384,294.96000000000004,0.46086370944976807,0
38,Switzerland,,0.03339489696790619,0.9427938161485352,0.17864697,0.20681432,452.56000000000006,0.4829303026199341,1
39,Taiwan,,0.023225494556016642,0.8928224092342618,0.17864397,0.20681444,277.03999999999996,0.47233468294143677,2
40,UAE,,0.026237414425196937,1.0,0.19192693,0.0,137.93999999999997,0.6523076891899109,1
41,UK,,0.03943753849735476,0.9432504633129472,0.18410558,0.20660768,570.2,0.47165992856025696,1
42,US,,0.03817852773213595,0.9427938161485354,0.1788459,0.20155902,526.09,0.48364153504371643,2
