Source,Target,Weight
2,42,10.97
2,41,10.03
2,33,9.99
2,18,9.61
2,11,9.35
2,15,8.89
2,22,8.86
2,30,8.07
2,8,8.02
2,39,7.99
2,29,7.83
2,35,7.76
2,9,7.65
2,40,7.13
2,38,7.08
2,14,6.71
2,19,6.15
2,37,5.75
2,34,5.46
2,25,4.93
2,3,4.67
2,32,4.66
2,21,4.56
2,23,4.46
2,12,4.32
2,6,4.28
2,24,3.92
2,4,3.24
2,31,2.81
2,17,2.54
2,28,0.45
3,15,10.64
3,41,8.93
3,38,8.08
3,25,7.88
3,14,7.68
3,42,7.68
3,29,7.45
3,9,6.35
3,23,6.30
3,40,6.28
3,22,5.74
3,8,5.38
3,37,5.33
3,33,5.16
3,39,5.05
3,19,4.98
3,18,4.97
3,24,4.96
3,11,4.76
3,21,4.65
3,34,4.52
3,6,4.30
3,2,4.20
3,35,4.09
3,4,3.97
3,17,3.52
3,12,3.35
3,30,2.76
3,28,2.30
3,32,2.27
3,31,2.24
5,41,10.92
5,25,10.68
5,29,10.19
5,14,10.00
5,22,9.80
5,19,9.80
5,42,9.57
5,15,9.47
5,38,9.02
5,33,8.71
5,9,8.61
5,18,8.18
5,23,7.78
5,40,7.61
5,34,7.44
5,37,7.38
5,31,7.37
5,12,7.37
5,11,7.24
5,39,7.13
5,4,7.11
5,32,7.11
5,35,6.73
5,3,6.61
5,6,6.54
5,8,6.33
5,2,6.11
5,17,6.01
5,21,5.75
5,28,4.60
5,24,4.28
5,30,3.77
7,42,10.81
7,3,9.86
7,9,9.40
7,4,8.88
7,14,8.80
7,41,8.58
7,29,8.53
7,22,7.83
7,25,7.48
7,15,6.63
7,8,6.51
7,11,6.51
7,32,4.95
7,38,4.70
7,40,4.60
7,33,4.03
7,18,3.47
7,37,3.00
7,39,2.56
7,19,2.40
7,35,1.39
7,31,0.69
7,6,0.00
8,42,12.40
8,41,11.29
8,11,8.90
8,14,8.82
8,18,8.53
8,29,8.49
8,2,8.26
8,15,8.04
8,33,7.85
8,22,7.84
8,38,7.58
8,39,7.26
8,19,7.00
8,6,6.98
8,25,6.97
8,40,5.59
8,35,5.55
8,21,5.47
8,34,5.30
8,3,4.76
8,17,4.41
8,31,4.22
8,32,4.06
8,12,4.04
8,24,3.66
8,23,3.25
8,28,2.69
10,42,8.92
10,8,7.36
10,29,7.09
10,4,6.91
10,22,6.89
10,41,5.91
10,15,5.79
10,14,5.39
10,38,5.18
10,33,4.38
10,18,4.28
10,11,3.67
10,9,2.75
10,39,2.30
10,35,1.99
10,31,0.60
10,37,0.48
10,25,0.37
10,21,0.10
10,12,-0.32
10,2,-0.68
10,30,-1.72
10,34,-1.95
10,19,-1.97
10,3,-2.69
10,40,-5.30
12,37,10.33
12,41,9.77
12,31,9.40
12,15,9.08
12,38,8.85
12,42,8.57
12,29,8.08
12,14,7.83
12,25,7.75
12,19,7.71
12,3,6.97
12,2,5.59
12,8,5.56
12,40,5.55
12,18,5.52
12,17,5.42
12,22,5.31
12,4,5.11
12,21,3.64
12,30,3.24
12,6,3.23
12,32,3.17
12,23,2.85
12,35,2.73
12,39,1.86
12,28,1.51
13,37,11.00
13,41,9.52
13,15,9.12
13,12,8.38
13,29,7.97
13,19,7.96
13,31,7.95
13,25,7.79
13,14,7.17
13,4,4.76
13,8,2.45
13,2,1.83
13,3,1.47
13,21,1.42
13,18,1.34
13,40,1.12
13,35,0.40
13,30,0.20
13,28,0.17
13,39,-0.92
13,32,-2.00
14,41,12.72
14,25,11.94
14,42,11.83
14,15,11.69
14,38,10.82
14,9,10.66
14,19,10.60
14,22,10.56
14,18,10.49
14,29,10.29
14,11,9.72
14,33,9.59
14,2,9.27
14,12,9.08
14,8,8.97
14,31,8.94
14,23,8.64
14,17,8.30
14,40,8.04
14,3,7.96
14,37,7.60
14,28,7.38
14,4,7.27
14,32,7.17
14,6,6.89
14,34,6.80
14,39,6.67
14,35,6.34
14,24,6.27
14,21,6.01
14,30,4.52
16,8,5.38
16,19,4.23
16,11,2.77
16,37,2.77
17,38,10.72
17,23,9.27
17,41,9.03
17,42,8.27
17,29,6.69
17,4,6.35
17,19,6.31
17,14,6.28
17,6,6.22
17,9,6.21
17,40,6.04
17,34,5.80
17,18,5.66
17,21,5.18
17,2,5.09
17,25,4.85
17,8,4.82
17,33,4.75
17,30,4.10
17,15,3.82
17,22,3.68
17,24,2.88
17,37,2.43
17,32,2.30
17,3,1.83
17,31,1.61
17,11,1.38
17,28,1.31
17,12,0.94
17,35,-0.95
17,39,-1.43
18,11,12.16
18,22,11.61
18,33,11.16
18,39,10.86
18,41,10.60
18,42,10.42
18,35,10.31
18,14,10.10
18,29,9.91
18,9,9.91
18,2,9.66
18,15,9.14
18,38,9.10
18,8,8.91
18,40,8.44
18,6,7.81
18,4,7.71
18,30,7.25
18,25,7.20
18,17,6.87
18,23,6.75
18,37,6.49
18,19,6.18
18,21,5.54
18,34,5.51
18,32,5.45
18,24,5.04
18,3,5.00
18,12,4.52
18,31,3.35
18,28,3.09
19,41,10.95
19,14,10.26
19,29,10.11
19,15,9.91
19,42,9.55
19,9,8.62
19,38,8.07
19,4,6.85
19,25,6.75
19,23,6.55
19,12,6.38
19,8,6.19
19,31,6.02
19,6,5.99
19,2,4.81
19,3,4.64
19,34,4.20
19,33,4.03
19,18,3.91
19,17,3.90
19,37,3.72
19,40,3.09
19,21,2.76
19,30,2.46
19,22,2.40
19,11,1.79
19,32,1.17
19,39,0.36
19,35,-0.48
19,24,-0.63
19,28,-1.78
20,41,9.67
20,34,8.74
20,23,8.17
20,42,7.21
20,40,6.91
20,19,6.83
20,17,6.77
20,38,6.66
20,2,6.26
20,22,6.22
20,9,6.21
20,14,6.20
20,18,5.81
20,8,5.80
20,21,5.80
20,6,5.69
20,33,5.43
20,30,5.28
20,15,5.27
20,32,5.00
20,11,4.99
20,29,4.94
20,4,4.85
20,25,4.68
20,39,4.59
20,37,3.47
20,3,3.41
20,31,3.14
20,35,2.74
20,12,2.65
20,24,2.57
20,28,2.02
23,41,10.51
23,38,9.69
23,17,9.43
23,40,7.89
23,42,7.87
23,9,7.80
23,34,7.36
23,18,7.29
23,14,7.28
23,19,6.80
23,33,6.65
23,2,6.54
23,6,6.41
23,4,6.33
23,8,6.23
23,21,6.13
23,22,6.05
23,25,6.02
23,29,5.87
23,15,5.81
23,32,5.72
23,30,5.16
23,11,4.90
23,37,4.36
23,31,3.87
23,35,3.87
23,24,3.85
23,3,3.83
23,12,3.78
23,39,3.37
23,28,2.83
25,15,11.74
25,14,10.97
25,38,10.66
25,41,9.88
25,19,9.40
25,9,9.37
25,42,9.10
25,33,9.04
25,29,8.84
25,18,8.63
25,11,8.56
25,4,8.49
25,37,7.99
25,23,7.90
25,22,7.43
25,8,7.35
25,31,7.32
25,40,7.21
25,21,7.11
