Source,Target,Type,Weight
2,42,Directed,10.5
2,41,Directed,9.1
2,33,Directed,8.6
2,18,Directed,8.6
2,15,Directed,8.4
2,29,Directed,8.2
2,22,Directed,8.2
2,30,Directed,7.6
2,39,Directed,7.3
2,11,Directed,6.5
2,8,Directed,6.5
2,37,Directed,5.2
2,38,Directed,5.2
2,19,Directed,5.0
2,34,Directed,4.8
2,9,Directed,4.3
2,6,Directed,4.1
2,21,Directed,3.6
2,35,Directed,3.6
2,12,Directed,3.2
2,25,Directed,3.1
2,24,Directed,3.1
2,31,Directed,3.0
2,40,Directed,3.0
2,3,Directed,2.8
2,4,Directed,1.4
2,17,Directed,1.4
2,23,Directed,1.1
2,28,Directed,0.0
2,32,Directed,0.0
5,41,Directed,11.9
5,25,Directed,11.0
5,14,Directed,10.9
5,29,Directed,10.8
5,38,Directed,10.6
5,42,Directed,10.5
5,15,Directed,10.3
5,18,Directed,8.9
5,33,Directed,8.8
5,9,Directed,8.8
5,19,Directed,8.8
5,22,Directed,8.7
5,23,Directed,8.6
5,31,Directed,7.9
5,3,Directed,7.9
5,12,Directed,7.8
5,40,Directed,7.8
5,34,Directed,7.8
5,37,Directed,7.6
5,21,Directed,7.5
5,2,Directed,7.0
5,4,Directed,7.0
5,11,Directed,7.0
5,8,Directed,6.9
5,39,Directed,6.7
5,6,Directed,6.7
5,17,Directed,6.7
5,28,Directed,5.8
5,24,Directed,5.7
5,32,Directed,5.5
5,35,Directed,4.9
5,30,Directed,3.7
7,42,Directed,9.4
7,9,Directed,7.8
7,41,Directed,7.7
7,4,Directed,7.5
7,3,Directed,7.4
7,22,Directed,7.1
7,29,Directed,7.0
7,15,Directed,6.9
7,14,Directed,6.6
7,8,Directed,6.5
7,19,Directed,5.7
7,18,Directed,5.3
7,38,Directed,5.2
7,25,Directed,5.0
7,37,Directed,4.1
7,11,Directed,3.2
7,35,Directed,3.1
7,39,Directed,2.5
7,2,Directed,0.0
7,12,Directed,0.0
7,31,Directed,0.0
7,33,Directed,0.0
7,40,Directed,0.0
10,42,Directed,8.4
10,29,Directed,6.3
10,41,Directed,6.3
10,8,Directed,5.6
10,15,Directed,5.6
10,38,Directed,4.1
10,22,Directed,4.1
10,14,Directed,4.0
10,11,Directed,4.0
10,18,Directed,3.9
10,35,Directed,3.8
10,4,Directed,3.3
10,31,Directed,2.9
10,30,Directed,2.6
10,3,Directed,2.2
10,9,Directed,2.2
10,19,Directed,1.9
10,39,Directed,1.4
10,33,Directed,1.1
10,37,Directed,1.1
10,40,Directed,1.1
10,12,Directed,0.0
12,15,Directed,10.0
12,41,Directed,9.7
12,37,Directed,9.7
12,42,Directed,9.3
12,29,Directed,8.9
12,25,Directed,8.5
12,33,Directed,7.9
12,18,Directed,7.9
12,38,Directed,7.8
12,31,Directed,7.7
12,14,Directed,7.5
12,19,Directed,7.3
12,3,Directed,6.4
12,9,Directed,6.1
12,4,Directed,6.0
12,40,Directed,5.9
12,21,Directed,5.8
12,34,Directed,5.7
12,24,Directed,5.4
12,35,Directed,5.0
12,39,Directed,4.9
12,17,Directed,4.9
12,23,Directed,4.6
12,22,Directed,4.4
12,8,Directed,4.3
12,32,Directed,4.2
12,28,Directed,4.1
12,2,Directed,3.9
12,11,Directed,3.9
12,6,Directed,3.2
12,30,Directed,2.1
13,42,Directed,9.8
13,37,Directed,8.4
13,41,Directed,8.4
13,15,Directed,7.9
13,33,Directed,7.4
13,12,Directed,6.8
13,31,Directed,6.6
13,19,Directed,6.5
13,14,Directed,6.2
13,38,Directed,6.0
13,18,Directed,5.9
13,8,Directed,5.5
13,4,Directed,5.2
13,22,Directed,5.2
13,25,Directed,4.8
13,3,Directed,3.8
13,29,Directed,3.5
13,11,Directed,2.5
13,9,Directed,1.8
13,24,Directed,1.6
13,2,Directed,1.1
13,17,Directed,0.7
13,39,Directed,0.0
13,21,Directed,0.0
13,23,Directed,0.0
13,34,Directed,0.0
13,40,Directed,0.0
14,41,Directed,12.7
14,42,Directed,12.0
14,15,Directed,11.2
14,38,Directed,11.1
14,25,Directed,10.9
14,29,Directed,10.5
14,22,Directed,10.4
14,9,Directed,10.2
14,18,Directed,10.0
14,33,Directed,9.9
14,17,Directed,9.8
14,19,Directed,9.6
14,23,Directed,9.0
14,31,Directed,8.7
14,35,Directed,8.3
14,12,Directed,8.2
14,8,Directed,8.1
14,6,Directed,8.0
14,3,Directed,7.9
14,4,Directed,7.9
14,2,Directed,7.9
14,34,Directed,7.7
14,28,Directed,7.6
14,37,Directed,7.4
14,11,Directed,7.3
14,40,Directed,7.3
14,21,Directed,7.2
14,32,Directed,6.9
14,24,Directed,6.4
14,39,Directed,5.7
14,30,Directed,4.2
16,8,Directed,5.9
16,19,Directed,4.0
16,37,Directed,2.5
16,22,Directed,2.3
17,38,Directed,11.0
17,41,Directed,9.6
17,23,Directed,9.1
17,19,Directed,8.6
17,15,Directed,8.5
17,42,Directed,7.3
17,9,Directed,6.6
17,8,Directed,6.6
17,33,Directed,6.6
17,34,Directed,6.4
17,14,Directed,6.3
17,18,Directed,6.3
17,2,Directed,6.2
17,4,Directed,5.9
17,25,Directed,5.2
17,22,Directed,5.0
17,29,Directed,4.7
17,37,Directed,3.9
17,6,Directed,3.7
17,31,Directed,3.4
17,3,Directed,2.9
17,12,Directed,2.7
19,41,Directed,12.6
19,15,Directed,11.3
19,42,Directed,10.9
19,29,Directed,10.2
19,14,Directed,10.2
19,25,Directed,9.8
19,9,Directed,9.8
19,38,Directed,9.0
19,22,Directed,8.5
19,8,Directed,8.4
19,3,Directed,8.4
19,12,Directed,8.2
19,37,Directed,7.9
19,17,Directed,7.6
19,33,Directed,7.3
19,4,Directed,7.2
19,6,Directed,6.8
19,23,Directed,6.7
19,18,Directed,6.6
19,31,Directed,6.2
19,35,Directed,5.9
19,40,Directed,5.9
19,34,Directed,5.6
19,11,Directed,5.4
19,21,Directed,5.0
19,2,Directed,4.9
19,30,Directed,4.7
19,28,Directed,4.6
19,39,Directed,3.8
19,32,Directed,1.6
20,41,Directed,9.6
20,38,Directed,8.8
20,23,Directed,7.8
20,34,Directed,7.7
20,42,Directed,7.5
20,19,Directed,7.3
20,17,Directed,6.8
20,2,Directed,6.5
20,8,Directed,6.4
20,14,Directed,6.3
20,18,Directed,6.2
20,9,Directed,6.1
20,33,Directed,5.7
20,15,Directed,5.7
20,22,Directed,5.4
20,29,Directed,5.4
20,37,Directed,4.4
20,4,Directed,4.3
20,25,Directed,4.1
20,31,Directed,4.0
20,3,Directed,3.6
20,12,Directed,3.4
23,38,Directed,11.2
23,41,Directed,11.1
23,42,Directed,10.3
23,17,Directed,9.5
23,33,Directed,9.1
23,25,Directed,8.9
23,18,Directed,8.8
23,15,Directed,8.7
23,19,Directed,8.5
23,14,Directed,8.1
23,29,Directed,7.5
23,6,Directed,7.3
23,34,Directed,7.3
23,40,Directed,7.2
23,8,Directed,7.0
23,2,Directed,7.0
23,9,Directed,6.8
23,4,Directed,6.5
23,22,Directed,6.1
23,21,Directed,6.1
23,30,Directed,5.6
23,39,Directed,5.2
23,37,Directed,5.1
23,32,Directed,5.1
23,11,Directed,4.8
23,31,Directed,4.7
23,24,Directed,4.7
23,12,Directed,4.4
23,3,Directed,4.2
23,35,Directed,3.3
23,28,Directed,2.9
25,15,Directed,12.1
25,38,Directed,11.5
25,41,Directed,10.8
25,14,Directed,10.1
25,42,Directed,9.1
25,29,Directed,8.8
25,9,Directed,8.7
25,12,Directed,8.6
25,19,Directed,8.6
25,18,Directed,8.3
25,33,Directed,8.3
25,17,Directed,8.1
25,23,Directed,8.0
25,22,Directed,8.0
25,4,Directed,7.6
25,3,Directed,7.5
25,37,Directed,7.3
25,6,Directed,7.0
25,8,Directed,6.9
25,31,Directed,6.5
25,21,Directed,6.4
25,11,Directed,6.2
25,40,Directed,6.0
25,34,Directed,5.7
25,39,Directed,5.6
25,2,Directed,5.5
25,30,Directed,5.3
25,28,Directed,4.7
25,35,Directed,4.2
25,24,Directed,3.9
25,32,Directed,2.6
27,42,Directed,7.2
27,14,Directed,6.8
27,15,Directed,6.3
27,41,Directed,4.2
27,22,Directed,3.7
27,11,Directed,3.7
27,8,Directed,3.6
27,29,Directed,2.3
27,37,Directed,2.2
27,38,Directed,0.0
29,41,Directed,12.1
29,38,Directed,11.1
29,15,Directed,10.4
29,42,Directed,10.3
29,14,Directed,10.0
29,23,Directed,9.9
29,9,Directed,9.7
29,18,Directed,9.5
29,19,Directed,9.4
29,22,Directed,9.2
29,25,Directed,8.8
29,17,Directed,8.3
29,12,Directed,8.3
29,37,Directed,8.2
29,33,Directed,8.2
29,2,Directed,7.9
29,3,Directed,7.7
29,11,Directed,7.4
29,34,Directed,7.3
29,6,Directed,7.2
29,4,Directed,7.2
29,8,Directed,6.7
29,39,Directed,6.4
29,35,Directed,6.4
29,31,Directed,6.1
35,18,Directed,9.5
35,42,Directed,9.0
35,33,Directed,8.9
35,22,Directed,8.8
35,11,Directed,8.3
35,41,Directed,8.1
35,15,Directed,7.7
35,14,Directed,7.6
35,38,Directed,7.3
35,29,Directed,6.4
35,2,Directed,5.8
35,39,Directed,5.4
35,19,Directed,5.2
35,40,Directed,4.6
35,30,Directed,4.4
35,8,Directed,4.4
35,3,Directed,4.1
35,9,Directed,4.0
35,21,Directed,3.9
35,25,Directed,3.9
35,37,Directed,2.8
35,31,Directed,2.6
35,6,Directed,1.6
35,12,Directed,1.1
35,34,Directed,0.0
37,42,Directed,10.2
37,12,Directed,10.0
37,41,Directed,9.9
37,15,Directed,8.9
37,31,Directed,8.6
37,38,Directed,8.6
37,25,Directed,8.1
37,29,Directed,8.1
37,33,Directed,7.5
37,6,Directed,7.3
37,19,Directed,7.1
37,14,Directed,7.1
37,9,Directed,6.8
37,4,Directed,6.7
37,18,Directed,6.5
37,40,Directed,6.1
37,21,Directed,6.0
37,2,Directed,5.7
37,24,Directed,5.5
37,3,Directed,5.4
37,23,Directed,5.3
37,34,Directed,5.1
37,17,Directed,5.0
37,8,Directed,4.7
37,39,Directed,4.5
37,11,Directed,4.2
37,32,Directed,3.9
37,22,Directed,2.8
37,35,Directed,1.6
37,30,Directed,1.4
37,28,Directed,1.1
38,41,Directed,12.0
38,42,Directed,12.0
38,15,Directed,10.6
38,14,Directed,10.5
38,23,Directed,10.1
38,25,Directed,10.0
38,33,Directed,10.0
38,4,Directed,9.9
38,17,Directed,9.8
38,22,Directed,9.7
38,18,Directed,9.6
38,9,Directed,9.5
38,40,Directed,9.2
38,29,Directed,8.7
38,21,Directed,8.7
38,8,Directed,8.2
38,6,Directed,8.1
38,3,Directed,8.1
38,24,Directed,8.0
38,39,Directed,7.9
38,2,Directed,7.6
38,34,Directed,7.6
38,28,Directed,7.5
38,19,Directed,7.3
38,12,Directed,7.1
38,11,Directed,7.1
38,37,Directed,7.0
38,30,Directed,6.9
38,31,Directed,6.2
38,35,Directed,6.0
38,32,Directed,5.9
39,18,Directed,9.3
39,42,Directed,8.8
39,29,Directed,8.5
39,33,Directed,8.5
39,41,Directed,8.0
39,14,Directed,7.9
39,22,Directed,7.9
39,38,Directed,7.1
39,9,Directed,6.8
39,2,Directed,6.4
39,25,Directed,5.9
39,15,Directed,5.7
39,8,Directed,5.2
39,31,Directed,5.1
39,19,Directed,4.9
39,6,Directed,4.7
39,4,Directed,4.4
39,3,Directed,4.1
39,11,Directed,4.0
39,35,Directed,3.9
39,37,Directed,3.9
39,30,Directed,3.7
39,40,Directed,3.6
39,23,Directed,3.5
39,17,Directed,2.8
39,12,Directed,2.6
39,28,Directed,2.4
39,34,Directed,2.2
39,21,Directed,1.6
39,24,Directed,0.7
41,42,Directed,13.4
41,15,Directed,12.9
41,38,Directed,12.6
41,29,Directed,12.5
41,9,Directed,12.3
41,14,Directed,12.3
41,23,Directed,12.2
41,22,Directed,12.0
41,19,Directed,11.8
41,33,Directed,11.2
41,25,Directed,11.2
41,18,Directed,11.0
41,17,Directed,10.9
41,31,Directed,10.7
41,4,Directed,10.5
41,12,Directed,10.4
41,2,Directed,10.2
41,37,Directed,10.0
41,8,Directed,10.0
41,40,Directed,9.8
41,6,Directed,9.8
41,34,Directed,9.7
41,11,Directed,9.6
41,3,Directed,9.6
41,39,Directed,9.5
41,21,Directed,9.2
41,35,Directed,9.1
41,32,Directed,8.3
41,24,Directed,8.0
41,30,Directed,7.9
41,28,Directed,7.6
42,9,Directed,13.5
42,41,Directed,13.2
42,4,Directed,12.3
42,38,Directed,11.8
42,14,Directed,11.1
42,15,Directed,11.0
42,22,Directed,10.9
42,6,Directed,10.5
42,25,Directed,10.2
42,8,Directed,10.2
42,23,Directed,10.2
42,31,Directed,10.1
42,39,Directed,9.9
42,18,Directed,9.9
42,11,Directed,9.8
42,33,Directed,9.7
