Source,Target,Weight
2,42,10.81
2,41,10.40
2,33,9.51
2,18,9.45
2,15,8.83
2,22,8.66
2,8,8.39
2,14,7.88
2,29,7.82
2,30,7.55
2,39,7.30
2,11,7.03
2,40,6.43
2,6,6.31
2,38,6.07
2,25,5.79
2,19,5.78
2,9,5.74
2,34,5.28
2,35,4.53
2,37,4.20
2,12,4.01
2,24,3.85
2,21,3.78
2,3,3.50
2,23,3.33
2,4,2.83
2,31,2.56
2,32,2.20
2,17,1.79
3,15,10.89
3,38,10.10
3,41,9.43
3,14,9.35
3,42,8.36
3,29,7.89
3,23,7.70
3,19,7.64
3,25,7.52
3,40,6.98
3,9,6.92
3,18,6.85
3,22,6.51
3,33,6.27
3,12,6.05
3,8,5.83
3,32,5.81
3,4,5.72
3,28,5.70
3,34,5.70
3,21,5.26
3,39,5.18
3,17,5.07
3,11,5.00
3,24,4.98
3,37,4.88
3,35,4.71
3,2,4.60
3,6,4.57
3,31,4.11
3,30,3.56
5,41,11.82
5,29,11.34
5,14,11.20
5,15,10.71
5,25,10.61
5,42,9.97
5,38,9.89
5,22,9.77
5,9,9.49
5,19,9.38
5,18,8.85
5,23,8.70
5,33,8.61
5,3,8.34
5,12,8.31
5,35,7.69
5,31,7.46
5,40,7.19
5,34,7.13
5,28,6.99
5,2,6.87
5,4,6.86
5,17,6.85
5,37,6.82
5,11,6.66
5,8,6.55
5,6,6.55
5,39,6.51
5,21,6.27
5,24,4.74
5,30,3.33
5,32,2.89
7,42,9.83
7,41,9.05
7,9,8.83
7,4,8.36
7,3,8.34
7,14,7.73
7,15,7.31
7,22,7.08
7,8,6.42
7,29,6.37
7,25,6.25
7,35,6.03
7,18,5.42
7,38,4.98
7,19,4.34
7,39,4.25
7,37,4.11
7,12,3.95
7,11,3.93
7,6,2.48
7,31,2.08
7,33,1.10
7,21,0.69
7,34,0.00
7,40,0.00
8,42,11.96
8,41,11.13
8,15,7.86
8,14,7.78
8,18,7.77
8,33,7.76
8,39,7.42
8,11,7.13
8,22,6.99
8,19,6.96
8,29,6.75
8,38,6.50
8,6,6.30
8,2,5.73
8,40,5.44
8,25,5.31
8,35,5.15
8,21,4.87
10,42,8.97
10,15,6.77
10,41,6.64
10,8,6.22
10,29,5.38
10,35,4.91
10,11,4.91
10,22,4.76
10,14,4.62
10,6,4.42
10,38,4.34
10,18,3.93
10,31,3.50
10,9,2.89
10,34,1.61
10,39,1.10
10,12,0.00
10,33,0.00
12,15,10.65
12,38,10.25
12,37,10.08
12,41,10.00
12,19,9.15
12,42,8.86
12,31,8.77
12,25,8.60
12,29,8.53
12,14,8.33
12,11,7.50
12,33,7.35
12,6,6.65
12,18,6.58
12,21,6.38
12,3,6.02
12,9,5.93
12,17,5.91
12,2,5.83
12,4,5.48
12,22,5.00
12,40,4.87
12,8,4.48
12,34,4.30
12,28,3.87
12,32,3.26
12,30,3.09
12,35,2.71
12,24,2.40
12,39,2.08
12,23,1.95
13,42,10.84
13,37,10.24
13,41,8.96
13,15,8.10
13,12,7.96
13,29,7.58
13,33,6.89
13,3,6.84
13,38,6.52
13,19,6.45
13,14,6.01
13,22,5.98
13,31,5.88
13,4,5.44
13,25,5.08
13,17,4.89
13,9,3.95
13,8,3.78
13,23,3.33
13,11,3.04
13,18,1.95
13,2,1.61
13,21,1.61
13,34,1.10
13,39,0.69
13,40,0.69
13,6,0.00
13,28,0.00
13,35,0.00
14,41,13.12
14,42,12.42
14,15,11.91
14,25,11.54
14,38,11.04
14,18,10.86
14,9,10.76
14,29,10.55
14,19,10.41
14,33,10.39
14,22,10.14
14,23,9.75
14,17,9.71
14,12,8.89
14,2,8.74
14,8,8.63
14,11,8.37
14,3,8.23
14,34,8.06
14,28,8.02
14,4,7.75
14,6,7.38
14,37,7.31
14,40,7.30
14,31,7.21
14,32,6.86
14,35,6.78
14,39,6.57
14,21,6.29
14,24,5.96
14,30,4.53
16,8,6.24
16,37,3.93
16,19,2.20
16,22,1.95
17,38,11.32
17,42,9.95
17,41,9.44
17,23,9.41
17,33,8.20
17,19,7.73
17,9,7.13
17,29,6.68
17,14,6.25
17,25,6.23
17,34,6.23
17,4,6.12
17,8,5.97
17,18,5.85
17,2,5.63
17,15,4.64
17,22,4.64
17,37,3.50
17,6,3.37
17,40,3.26
17,12,3.18
17,31,3.18
17,3,2.20
17,21,1.10
17,30,0.69
17,35,0.69
19,41,12.91
19,15,11.91
19,42,11.33
19,14,10.50
19,29,10.22
19,9,10.08
19,38,9.50
19,8,9.50
19,12,9.48
19,25,8.63
19,3,8.18
19,6,7.45
19,2,7.35
19,18,7.33
19,4,7.29
19,17,7.22
19,33,7.22
19,35,6.74
19,37,6.20
19,22,6.14
19,31,5.98
19,23,5.97
19,40,5.86
19,34,5.68
19,28,5.16
19,11,4.51
19,39,2.48
19,30,2.48
19,21,2.20
19,32,0.00
20,41,10.06
20,38,8.82
20,19,8.58
20,34,8.01
20,17,7.70
20,42,7.67
20,23,7.27
20,15,6.69
20,14,6.61
20,2,6.51
20,9,6.33
20,8,6.32
20,18,5.99
20,33,5.85
20,29,5.82
20,22,5.47
20,25,5.09
20,3,5.03
20,4,4.64
20,37,4.17
20,31,3.89
20,12,3.22
23,38,10.92
23,41,10.54
23,17,9.44
23,42,8.95
23,15,8.72
23,29,8.31
23,14,8.30
23,25,8.16
23,9,8.14
23,33,8.06
23,18,7.96
23,19,7.89
23,6,7.45
23,34,7.45
23,40,7.24
23,2,7.05
23,8,6.80
23,32,6.37
23,4,6.31
23,21,6.25
23,22,6.17
23,30,5.69
23,11,5.32
23,37,4.88
23,31,4.48
23,3,4.41
23,12,4.28
23,24,4.13
23,39,3.83
23,35,3.33
23,28,3.04
25,15,12.34
25,38,11.48
25,14,10.78
25,41,9.93
25,29,9.41
25,18,9.16
25,33,9.15
25,19,9.11
25,42,9.07
25,9,8.78
25,37,8.34
25,22,8.31
25,12,7.89
25,4,7.78
25,11,7.76
25,31,7.48
25,3,7.45
25,8,7.39
25,23,7.36
25,17,7.33
25,6,7.24
25,40,6.63
25,21,6.53
25,28,6.03
25,2,5.59
25,30,4.91
25,39,4.86
25,34,4.77
25,35,3.74
25,24,3.66
25,32,3.00
27,42,8.47
27,41,6.30
27,9,5.72
27,15,5.58
27,29,5.53
27,8,5.03
27,14,4.75
27,22,4.70
27,37,3.71
27,25,2.94
27,38,2.89
27,33,1.39
27,2,0.69
27,3,0.69
27,21,0.69
27,12,0.00
27,19,0.00
28,41,12.57
28,38,11.33
28,42,11.29
28,15,10.64
28,25,10.25
28,14,10.15
28,9,9.65
28,23,9.64
28,19,9.62
28,18,9.57
28,33,9.47
28,2,8.60
28,8,8.37
28,22,8.21
28,11,8.15
28,17,8.08
28,37,7.95
28,3,7.91
28,6,7.79
28,39,7.50
28,34,7.38
28,12,7.26
28,4,6.77
28,31,6.32
28,35,4.56
34,41,8.95
34,15,6.75
34,42,5.86
34,11,5.74
34,14,5.57
34,25,5.50
34,38,4.55
34,2,4.29
34,19,4.22
34,29,4.14
34,39,3.78
34,22,3.61
34,33,3.50
34,8,3.26
34,18,3.26
34,17,2.94
34,37,2.83
34,3,2.40
34,40,2.40
34,23,1.95
34,30,1.79
34,31,1.79
34,12,1.61
34,4,1.39
34,21,1.39
34,35,1.10
34,9,0.00
34,24,0.00
35,18,10.46
35,33,10.23
35,22,9.49
35,42,9.35
35,41,9.09
35,14,8.93
35,11,8.09
35,15,8.05
35,29,7.91
35,39,7.33
35,2,7.21
35,40,6.58
35,8,6.34
35,25,6.32
35,3,5.73
35,38,5.41
35,30,3.99
35,31,2.71
35,6,2.08
35,37,2.08
35,9,1.95
35,12,1.10
35,19,0.69
35,21,0.00
35,24,0.00
35,28,0.00
35,34,0.00
37,12,10.34
37,9,10.25
37,41,9.92
37,31,9.78
37,42,9.54
37,15,9.20
37,25,8.64
37,38,8.22
37,29,8.11
37,11,7.60
37,33,7.58
37,14,7.57
37,19,7.07
37,18,6.75
37,2,6.74
37,22,5.98
37,34,5.89
37,40,5.89
37,6,5.84
37,3,5.74
37,39,5.48
37,8,5.30
37,17,5.25
37,24,4.55
37,4,4.19
37,35,3.04
37,23,3.00
37,21,2.71
37,28,1.10
37,30,1.10
37,32,0.00
38,41,12.01
38,42,11.08
38,15,10.68
38,14,10.61
38,33,10.40
38,25,10.22
38,4,10.22
38,17,10.19
38,23,10.12
38,18,10.02
38,9,9.97
38,29,9.09
38,40,9.07
38,21,8.97
38,6,8.80
38,22,8.56
38,19,8.54
38,8,8.51
38,3,8.46
38,39,8.44
38,24,7.98
38,2,7.89
38,34,7.73
38,32,7.69
38,28,7.44
38,30,7.37
38,37,7.34
38,31,7.09
38,11,6.94
38,12,6.36
38,35,5.92
39,18,9.41
39,42,9.30
39,33,8.88
39,41,8.28
39,14,8.25
39,38,7.89
39,22,7.82
39,9,7.62
39,25,7.49
39,2,6.74
39,19,6.50
39,11,6.49
39,29,6.37
39,8,5.75
39,15,5.39
39,35,5.29
39,6,5.11
39,31,4.85
39,4,4.25
39,17,4.08
39,30,3.81
39,34,3.14
39,12,3.04
39,37,3.04
39,23,2.83
39,40,2.48
39,3,2.08
39,28,1.95
39,21,0.69
39,24,0.69
41,42,13.84
41,15,13.16
41,29,12.76
41,23,12.60
41,14,12.54
41,38,12.36
41,19,12.35
41,9,12.16
41,22,11.88
41,25,11.40
41,17,11.37
41,18,11.31
41,33,11.29
41,8,10.91
41,2,10.75
41,40,10.29
41,4,10.29
41,12,10.18
41,31,10.08
41,6,9.93
41,37,9.84
41,3,9.84
41,34,9.76
41,11,9.41
41,32,9.19
41,39,8.83
41,21,8.78
41,35,8.18
41,30,7.74
41,24,7.49
41,28,7.43
42,9,14.02
42,41,13.55
42,4,12.57
42,22,11.59
42,15,11.52
42,8,11.32
42,14,10.91
42,19,10.76
42,11,10.45
42,39,10.21
42,25,10.17
42,18,10.14
42,33,10.10
42,2,9.90
42,38,9.84
42,6,9.80
42,23,9.34
42,29,9.13
42,35,9.03
42,21,9.01
42,34,7.95
42,30,7.84
42,37,7.53
42,31,7.38
42,24,7.20
42,12,7.18
42,3,6.87
42,28,5.81
