id,label,timeset,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
2,Australia,,0.17602566,0.23004825,3,0.026478035626550298,0,16,0.4268907606601715,0.9325210188375654
3,Austria,,0.1724839,0.23588301,2,0.02403084136957308,0,16,0.43361344933509827,0.8708442735479054
4,Bahamas,,0.17415069,0.0,2,0.02554731706524246,0,6,0.741830050945282,0.8667684974591517
5,Belgium,,0.0,0.24335381,2,0.01308546162140233,0,17,0.46370968222618103,0.0
6,Bermuda,,0.16358313,0.0,3,0.02539587950887111,0,2,0.8933823704719543,0.9957704102133641
7,Brazil,,0.0,0.1837447,4,0.01308546162140233,0,18,0.5019763112068176,0.0
8,Canada,,0.195826,0.13580169,4,0.033587750929480985,0,16,0.4919540286064148,0.9340533110669409
9,Cayman Islands,,0.19438453,0.0,3,0.03001506057987572,0,14,0.6452381014823914,0.9333483794358348
10,Chile,,0.0,0.14587353,4,0.01308546162140233,0,19,0.48366013169288635,0.0
11,China,,0.17837436,0.0,4,0.02778650021598665,0,10,0.7339181303977966,0.9453826668003584
12,Denmark,,0.18418969,0.235376,2,0.024660026498077837,0,16,0.41066065430641174,0.8718658017008218
13,Finland,,0.0,0.21718735,2,0.01308546162140233,0,20,0.4682539701461792,0.0
14,France,,0.19008273,0.23512076,4,0.0333660172877215,0,16,0.4099099040031433,0.9335425469904822
15,Germany,,0.20026651,0.0,2,0.03564070740515485,0,15,0.6515151262283325,0.999295068368894
16,Greece,,0.0,0.033280186,4,0.01308546162140233,0,21,0.6666666865348816,0.0
17,Guernsey,,0.14790018,0.20530939,3,0.022596985641363827,0,16,0.49247312545776367,0.7478085061433087
18,Hong Kong,,0.19490092,0.0,4,0.032362029202895506,0,12,0.6928571462631226,0.9985901367377881
19,Ireland,,0.1851968,0.23533238,3,0.031591716631965264,0,16,0.39939939975738525,0.9335425469904822
20,Isle of Man,,0.0,0.1762511,3,0.01308546162140233,0,22,0.5692640542984009,0.0
21,Israel,,0.17018534,0.0,2,0.022641559844201534,0,3,0.7222222089767456,0.8837357861953175
22,Japan,,0.20170799,0.0,4,0.03406392004111962,0,9,0.6007905006408691,1.0
23,Jersey,,0.15594432,0.2365994,3,0.024513617513299918,0,16,0.44117647409439087,0.8093195539827319
24,Jordan,,0.14968404,0.0,2,0.019791268655324913,0,4,0.8523809313774109,0.8290467144081902
25,Luxembourg,,0.18375263,0.23539494,2,0.03046976692720989,0,16,0.4198412597179413,0.9330317829140237
26,Macao,,0.0,0.0,0,0.01308546162140233,1,23,0.0,0.0
27,Mexico,,0.0,0.12387956,4,0.01308546162140233,0,24,0.6523809432983398,0.0
28,Morocco,,0.13116995,0.196975,3,0.01849116301828259,0,16,0.5584045648574829,0.6985125094246031
29,Netherlands,,0.19173492,0.0,4,0.03294732581576012,0,13,0.6499999761581421,0.9503156681720003
30,New Zealand,,0.15857661,0.0,3,0.02046057109335502,0,0,0.8500000238418579,0.8815492527145152
31,Norway,,0.18106039,0.0,2,0.02470452346052661,0,5,0.7339181303977966,0.9319385161736228
32,Qatar,,0.11229604,0.0,2,0.018575725203671126,0,1,0.9090909361839294,0.6356351347333373
33,Singapore,,0.20026651,0.0,3,0.03240116499749215,0,11,0.6515151262283325,0.999295068368894
34,South Africa,,0.1827007,0.0,3,0.024086728191661386,0,7,0.7426900863647461,0.9319385161736228
35,South Korea,,0.16930988,0.1974006,4,0.022530464410149165,0,16,0.4795698821544647,0.9320102547611073
36,Spain,,0.0,0.0,1,0.01308546162140233,2,25,0.0,0.0
37,Sweden,,0.18563387,0.23531346,2,0.02796127603324801,0,16,0.3911806643009186,0.8723765657772811
38,Switzerland,,0.19008273,0.23512076,2,0.03369187725381279,0,16,0.4099099040031433,0.9335425469904821
39,Taiwan,,0.15893579,0.23160595,4,0.024890466211537166,0,16,0.44981059432029724,0.8828936272183867
40,UAE,,0.15713575,0.0,2,0.02213142057285498,0,8,0.7791666388511658,0.8165016629672079
41,UK,,0.19008273,0.23512076,3,0.03741625597271289,0,16,0.4099099040031433,0.9335425469904822
42,US,,0.19086713,0.21701089,4,0.03740284497549738,0,16,0.43865546584129333,0.9335425469904822
