id,label,timeset,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
2,Australia,,0.17950912,0.23047726,3,0.027510688590456987,0,15,0.4563025236129761,0.9379823680344294,1.0,1.0,1.0,5.681018981018981
3,Austria,,0.17949092,0.22448955,4,0.02432781749919619,0,15,0.4588235318660736,0.8810648387948409,2.0,0.96875,0.9838709677419355,5.244583194583195
4,Bahamas,,0.16611487,0.0,3,0.025575278534147834,0,11,0.7516340017318726,0.8226511438953307,0.0,0.0,0.0,0.0
5,Belgium,,0.0,0.23807693,3,0.012282432419126231,0,16,0.48991936445236206,0.0,1.0,1.0,1.0,0.0
6,Bermuda,,0.17528604,0.0,3,0.025682746281226222,0,5,0.8216374516487122,0.9484588031545786,0.0,0.0,0.0,0.0
7,Brazil,,0.0,0.19466943,4,0.012282432419126231,0,17,0.5816666483879089,0.0,2.0,0.8205128205128205,0.890625,0.0
8,Canada,,0.1892999,0.1409693,4,0.03403188532899208,0,15,0.5252873301506042,0.9389427906560027,2.0,0.7045454545454546,0.7903225806451613,7.168312243312242
9,Cayman Islands,,0.1828324,0.0,3,0.030005591916480733,0,7,0.7657894492149353,0.9376440817950494,0.0,0.0,0.0,0.0
10,Chile,,0.0,0.11274447,4,0.012282432419126231,0,18,0.5604395866394043,0.0,2.0,0.64,0.71875,0.0
11,China,,0.19361238,0.0,4,0.030555226310586128,0,13,0.6205533742904663,0.9510562208764849,0.0,0.0,0.0,0.0
12,Denmark,,0.17923693,0.23048878,2,0.025105753473979392,0,15,0.4444444477558136,0.8810648387948409,1.0,1.0,1.0,5.826834276834277
13,Finland,,0.0,0.1455617,2,0.012282432419126231,0,19,0.5584795475006104,0.0,2.0,0.7111111111111111,0.796875,0.0
14,France,,0.18999742,0.23003322,3,0.0346290201975232,0,15,0.42942944169044495,0.9389427906560027,1.0,1.0,1.0,10.14826284826285
15,Germany,,0.19973607,0.0,4,0.03691919821479797,0,14,0.6719367504119873,1.0,0.0,0.0,0.0,0.0
16,Greece,,0.0,0.04002194,4,0.012282432419126231,0,20,0.550000011920929,0.0,2.0,0.5423728813559322,0.578125,0.0
17,Guernsey,,0.14393924,0.1846675,3,0.02280869739947277,0,15,0.5641025900840759,0.7677615464473824,2.0,0.8157894736842105,0.8870967741935484,0.27142857142857146
18,Hong Kong,,0.1940397,0.0,4,0.0318214441411187,0,10,0.7121211886405945,0.9993506455695234,0.0,0.0,0.0,0.0
19,Ireland,,0.18144785,0.22470501,3,0.030849972529215997,0,15,0.44873949885368347,0.9384625793452162,2.0,0.96875,0.9838709677419355,15.503998778998778
20,Isle of Man,,0.0,0.23807693,3,0.012282432419126231,0,21,0.48991936445236206,0.0,1.0,1.0,1.0,0.0
21,Israel,,0.17043789,0.0,3,0.022474687389504033,0,3,0.7309941649436951,0.8795414550866375,0.0,0.0,0.0,0.0
22,Japan,,0.19526796,0.0,4,0.03285815620336263,0,12,0.6561264991760254,1.0,0.0,0.0,0.0,0.0
23,Jersey,,0.15093137,0.23168711,3,0.024321711961571475,0,15,0.47632575035095215,0.8250133886405714,1.0,1.0,1.0,1.813070263070263
24,Jordan,,0.13440518,0.0,3,0.01929897417453857,0,6,0.8516483306884766,0.7079166526204911,0.0,0.0,0.0,0.0
25,Luxembourg,,0.18521571,0.23023567,3,0.03128725301013172,0,15,0.4436507821083069,0.9384625793452162,1.0,1.0,1.0,7.301834276834277
26,Macao,,0.0,0.0,0,0.012282432419126231,1,22,0.0,0.0,0.0,0.0,0.0,0.0
27,Mexico,,0.0,0.13455176,4,0.012282432419126231,0,23,0.625,0.0,2.0,0.6808510638297872,0.765625,0.0
28,Morocco,,0.14145145,0.0,3,0.017740533032430342,0,0,0.7809523940086365,0.711013160327484,0.0,0.0,0.0,0.0
29,Netherlands,,0.191607,0.19201376,4,0.03286594348992756,0,15,0.5182795524597168,0.9389427906560027,2.0,0.8378378378378378,0.9032258064516129,5.443936618936618
30,New Zealand,,0.16692795,0.0,3,0.020608916406662337,0,2,0.8006535768508911,0.8759375180205753,0.0,0.0,0.0,0.0
31,Norway,,0.18807165,0.0,2,0.025448880643074854,0,8,0.711904764175415,0.9382934362255261,0.0,0.0,0.0,0.0
32,Qatar,,0.11722001,0.0,3,0.01725243756444696,0,4,0.8333333134651184,0.5920496854430459,0.0,0.0,0.0,0.0
33,Singapore,,0.1935736,0.0,3,0.03188988719185073,0,9,0.7121211886405945,0.9993506455695234,0.0,0.0,0.0,0.0
34,South Africa,,0.16810687,0.2132746,3,0.023636593578179547,0,15,0.522580623626709,0.8801044161732671,2.0,0.9117647058823529,0.9516129032258065,1.6247419247419246
35,South Korea,,0.18376353,0.19261423,4,0.022257523949638248,0,15,0.4818548262119293,0.8923042397375955,2.0,0.8378378378378378,0.9032258064516129,5.081396381396382
36,Spain,,0.0,0.0,1,0.012282432419126231,2,24,0.0,0.0,0.0,0.0,0.0,0.0
37,Sweden,,0.18571605,0.23021448,2,0.02786307064638098,0,15,0.41038405895233154,0.8820252614164138,1.0,1.0,1.0,20.173262848262844
38,Switzerland,,0.18382388,0.23029459,3,0.0343030776560576,0,15,0.4396825432777405,0.9384625793452162,1.0,1.0,1.0,8.884879009879011
39,Taiwan,,0.1718875,0.2258373,4,0.02467280900227029,0,15,0.4750445485115051,0.8913438171160226,2.0,0.96875,0.9838709677419355,4.190506715506716
40,UAE,,0.16599227,0.0,3,0.023283008018096966,0,1,0.7941176295280457,0.8761066611402653,0.0,0.0,0.0,0.0
41,UK,,0.18999742,0.23003322,3,0.03961540667704219,0,15,0.42942944169044495,0.9389427906560027,1.0,1.0,1.0,10.14826284826285
42,US,,0.18459085,0.21217829,4,0.03795587996259943,0,15,0.469696968793869,0.9384625793452162,2.0,0.9117647058823529,0.9516129032258065,6.493670218670219
