id,label,timeset,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
2,Australia,,1.0,1.0,1.0,5.9418470418470415,0.17556281,0.22850715,4,0.028073664331341,0,15,0.4529411792755127,0.9370356320250063
3,Austria,,2.0,0.9117647058823529,0.9516129032258065,4.661990786990787,0.17795889,0.20802388,3,0.02483853929397845,0,15,0.45966386795043945,0.8791448551788765
4,Bahamas,,0.0,0.0,0.0,0.0,0.15303381,0.0,3,0.024710160287838654,0,1,0.7279411554336548,0.7678933875203695
5,Belgium,,1.0,1.0,1.0,0.0,0.0,0.23587672,3,0.01219997270705133,0,16,0.4818548262119293,0.0
6,Bermuda,,0.0,0.0,0.0,0.0,0.17953552,0.0,3,0.0250807626848078,0,5,0.7684210538864136,0.9548401515513757
7,Brazil,,2.0,0.8205128205128205,0.890625,0.0,0.0,0.19245218,4,0.01219997270705133,0,17,0.5616666674613953,0.0
8,Canada,,2.0,0.7380952380952381,0.8225806451612904,8.209756909756909,0.19438773,0.15585433,4,0.03475171266411306,0,15,0.5030242204666138,0.9384970429400242
9,Cayman Islands,,0.0,0.0,0.0,0.0,0.17795889,0.0,4,0.029819564556539828,0,10,0.7078947424888611,0.8791448551788765
10,Chile,,2.0,0.7441860465116279,0.828125,0.0,0.0,0.1638908,4,0.01219997270705133,0,18,0.5928571224212646,0.0
11,China,,0.0,0.0,0.0,0.0,0.18808797,0.0,4,0.0289004987663787,0,7,0.6666666865348816,0.9561597119873264
12,Denmark,,1.0,1.0,1.0,7.907251082251083,0.18969023,0.22791411,2,0.02649427985327839,0,15,0.43618619441986084,0.9380099059683517
13,Finland,,2.0,0.7111111111111111,0.796875,0.0,0.0,0.1435057,2,0.01219997270705133,0,19,0.5292397737503052,0.0
14,France,,1.0,1.0,1.0,7.907251082251083,0.18969023,0.22791411,3,0.03404690371492399,0,15,0.43618619441986084,0.9380099059683517
15,Germany,,0.0,0.0,0.0,0.0,0.19925733,0.0,2,0.036519996785732145,0,14,0.6818181872367859,1.0
16,Greece,,2.0,0.5423728813559322,0.578125,0.0,0.0,0.039848983,2,0.01219997270705133,0,20,0.550000011920929,0.0
17,Guernsey,,2.0,0.7560975609756098,0.8387096774193549,0.4705128205128205,0.13941643,0.16242562,4,0.022696070266066126,0,15,0.5953845977783203,0.6622356487223521
