Source,Target,Type,Weighgt
2,41,Directed,11.3
2,42,Directed,11
2,33,Directed,10.7
2,18,Directed,10.3
2,22,Directed,10
2,15,Directed,9.7
2,14,Directed,9.4
2,29,Directed,9.1
2,11,Directed,8.7
2,30,Directed,8.4
2,39,Directed,8.1
2,8,Directed,7.8
2,25,Directed,7.4
2,6,Directed,7.1
2,19,Directed,6.8
2,9,Directed,6.5
2,38,Directed,6.2
2,34,Directed,5.8
2,12,Directed,5.5
2,35,Directed,5.2
2,40,Directed,4.9
2,37,Directed,4.5
2,24,Directed,4.2
2,23,Directed,3.9
2,21,Directed,3.6
2,3,Directed,3.3
2,31,Directed,2.9
2,32,Directed,2.6
2,4,Directed,2.3
2,17,Directed,1.9
5,41,Directed,12
5,29,Directed,11.7
5,25,Directed,11.3
5,14,Directed,11
5,15,Directed,10.7
5,22,Directed,10.4
5,38,Directed,10.1
5,42,Directed,9.7
5,19,Directed,9.4
5,9,Directed,9.1
5,33,Directed,8.8
5,12,Directed,8.5
5,18,Directed,8.2
5,3,Directed,7.8
5,23,Directed,7.5
5,8,Directed,7.2
5,6,Directed,6.9
5,35,Directed,6.6
5,40,Directed,6.2
5,11,Directed,5.9
5,4,Directed,5.6
5,31,Directed,5.3
5,39,Directed,5
5,34,Directed,4.7
5,2,Directed,4.3
5,37,Directed,4
5,17,Directed,3.7
5,21,Directed,3.4
5,28,Directed,3
5,24,Directed,2.7
5,32,Directed,2.4
5,30,Directed,2.1
42,7,Directed,10.3
41,7,Directed,9.9
14,7,Directed,9.4
3,7,Directed,9
9,7,Directed,8.5
4,7,Directed,8
29,7,Directed,7.6
8,7,Directed,7.1
15,7,Directed,6.6
22,7,Directed,6.2
38,7,Directed,5.7
25,7,Directed,5.2
18,7,Directed,4.8
37,7,Directed,4.3
19,7,Directed,3.9
11,7,Directed,3.4
39,7,Directed,2.9
35,7,Directed,2.5
33,7,Directed,1.9
12,7,Directed,1.6
21,7,Directed,1.1
34,7,Directed,0.7
40,7,Directed,0
8,42,Directed,12.4
8,41,Directed,12.1
8,18,Directed,11.8
8,22,Directed,11.5
8,14,Directed,11.2
8,6,Directed,10.9
8,39,Directed,10.6
8,15,Directed,10.3
8,19,Directed,10
8,38,Directed,9.7
8,33,Directed,9.4
8,11,Directed,9.1
8,29,Directed,8.8
8,2,Directed,8.5
8,25,Directed,8.2
8,35,Directed,7.9
8,21,Directed,7.6
14,41,Directed,13.1
14,42,Directed,12.9
14,15,Directed,12.6
14,25,Directed,12.4
14,38,Directed,12.1
14,22,Directed,11.8
14,18,Directed,11.6
14,29,Directed,11.3
14,33,Directed,11.1
14,9,Directed,10.8
14,19,Directed,10.6
14,17,Directed,10.3
14,23,Directed,10.1
14,2,Directed,9.8
14,11,Directed,9.6
14,12,Directed,9.3
14,8,Directed,9.1
14,31,Directed,8.8
14,3,Directed,8.6
14,35,Directed,8.3
14,28,Directed,8.1
14,34,Directed,7.8
14,4,Directed,7.6
14,37,Directed,7.3
14,39,Directed,7.1
14,40,Directed,6.8
14,21,Directed,6.6
14,32,Directed,6.3
14,6,Directed,6.1
14,24,Directed,5.8
14,30,Directed,5.6
41,19,Directed,12
15,19,Directed,11.7
42,19,Directed,11.3
14,19,Directed,11
29,19,Directed,10.7
9,19,Directed,10.3
22,19,Directed,10
38,19,Directed,9.7
12,19,Directed,9.4
8,19,Directed,9
3,19,Directed,8.7
25,19,Directed,8.4
18,19,Directed,8
4,19,Directed,7.7
37,19,Directed,7.4
6,19,Directed,7
33,19,Directed,6.7
17,19,Directed,6.4
2,19,Directed,6.1
35,19,Directed,5.7
23,19,Directed,5.4
31,19,Directed,5.1
40,19,Directed,4.7
32,19,Directed,4.4
11,19,Directed,4.1
39,19,Directed,3.7
21,19,Directed,3.4
34,19,Directed,3.1
30,19,Directed,2.8
24,19,Directed,2.4
28,19,Directed,2.1
42,27,Directed,11.9
41,27,Directed,11.4
29,27,Directed,10.9
15,27,Directed,10.4
8,27,Directed,9.9
22,27,Directed,9.4
25,27,Directed,9
14,27,Directed,8.5
9,27,Directed,8
38,27,Directed,7.5
33,27,Directed,7
2,27,Directed,6.5
12,27,Directed,6.1
19,27,Directed,5.6
37,27,Directed,5.1
29,41,Directed,12.1
29,38,Directed,11.8
29,42,Directed,11.6
29,15,Directed,11.3
29,14,Directed,11
29,25,Directed,10.7
29,18,Directed,10.4
29,9,Directed,10.2
29,19,Directed,9.9
29,33,Directed,9.6
29,23,Directed,9.3
29,22,Directed,9.1
29,2,Directed,8.8
29,17,Directed,8.5
29,37,Directed,8.2
29,11,Directed,7.9
29,3,Directed,7.7
29,6,Directed,7.4
29,39,Directed,7.1
29,8,Directed,6.8
29,34,Directed,6.6
29,12,Directed,6.3
29,4,Directed,6
29,31,Directed,5.7
29,35,Directed,5.4
18,35,Directed,12.1
33,35,Directed,11.8
22,35,Directed,11.4
42,35,Directed,11.1
41,35,Directed,10.7
15,35,Directed,10.4
11,35,Directed,10
14,35,Directed,9.7
38,35,Directed,9.3
2,35,Directed,9
25,35,Directed,8.6
8,35,Directed,8.3
29,35,Directed,7.9
39,35,Directed,7.6
40,35,Directed,7.2
3,35,Directed,6.9
19,35,Directed,6.5
34,35,Directed,6.2
9,35,Directed,5.8
30,35,Directed,5.5
31,35,Directed,5.1
37,35,Directed,4.8
6,35,Directed,4.4
24,35,Directed,4.1
12,35,Directed,3.7
41,38,Directed,11.4
42,38,Directed,11.2
15,38,Directed,11
23,38,Directed,10.7
17,38,Directed,10.5
14,38,Directed,10.3
25,38,Directed,10
33,38,Directed,9.8
4,38,Directed,9.6
18,38,Directed,9.3
9,38,Directed,9.1
22,38,Directed,8.9
29,38,Directed,8.7
40,38,Directed,8.4
21,38,Directed,8.2
6,38,Directed,8
3,38,Directed,7.7
19,38,Directed,7.5
