Source,Target,Type,Weight
2,42,Directed,11.53
2,41,Directed,11.23
2,33,Directed,10.93
2,18,Directed,10.63
2,22,Directed,10.33
2,15,Directed,10.03
2,38,Directed,9.74
2,29,Directed,9.44
2,30,Directed,9.14
2,14,Directed,8.84
2,11,Directed,8.54
2,39,Directed,8.24
2,9,Directed,7.94
2,8,Directed,7.65
2,12,Directed,7.35
2,19,Directed,7.05
2,25,Directed,6.75
2,34,Directed,6.45
2,6,Directed,6.15
2,40,Directed,5.86
2,23,Directed,5.56
2,35,Directed,5.26
2,24,Directed,4.96
2,37,Directed,4.66
2,21,Directed,4.36
2,3,Directed,4.06
2,31,Directed,3.76
2,32,Directed,3.47
2,4,Directed,3.18
2,17,Directed,2.89
2,28,Directed,2.56
5,41,Directed,12.58
5,29,Directed,12.27
5,14,Directed,11.96
5,15,Directed,11.65
5,25,Directed,11.34
5,42,Directed,11.03
5,38,Directed,10.72
5,22,Directed,10.41
5,9,Directed,10.1
5,19,Directed,9.79
5,23,Directed,9.48
5,18,Directed,9.17
5,33,Directed,8.86
5,12,Directed,8.55
5,35,Directed,8.25
5,31,Directed,7.94
5,8,Directed,7.63
5,34,Directed,7.32
5,4,Directed,7.01
5,3,Directed,6.7
5,40,Directed,6.39
5,6,Directed,6.08
5,2,Directed,5.77
5,11,Directed,5.46
5,39,Directed,5.15
5,17,Directed,4.84
5,21,Directed,4.53
5,37,Directed,4.22
5,28,Directed,3.91
5,32,Directed,3.61
5,24,Directed,3.3
5,30,Directed,3
7,42,Directed,10.15
7,9,Directed,9.71
7,41,Directed,9.28
7,3,Directed,8.84
7,14,Directed,8.4
7,22,Directed,7.96
7,15,Directed,7.53
7,4,Directed,7.09
7,29,Directed,6.65
7,8,Directed,6.21
7,25,Directed,5.78
7,18,Directed,5.34
7,38,Directed,4.91
7,35,Directed,4.47
7,11,Directed,4.03
7,19,Directed,3.58
7,37,Directed,3.14
7,39,Directed,2.71
7,12,Directed,2.3
7,31,Directed,1.79
7,33,Directed,1.39
7,34,Directed,1.1
7,2,Directed,0.69
7,6,Directed,0
7,40,Directed,0
8,42,Directed,12.77
8,41,Directed,12.49
8,14,Directed,12.22
8,11,Directed,11.94
8,18,Directed,11.66
8,15,Directed,11.38
8,39,Directed,11.11
8,6,Directed,10.83
8,33,Directed,10.55
8,19,Directed,10.27
8,22,Directed,9.99
8,29,Directed,9.72
8,38,Directed,9.44
8,2,Directed,9.16
8,40,Directed,8.88
8,25,Directed,8.61
8,35,Directed,8.33
8,21,Directed,8.05
14,41,Directed,13.25
14,42,Directed,12.99
14,15,Directed,12.73
14,25,Directed,12.47
14,38,Directed,12.22
14,18,Directed,11.96
14,9,Directed,11.7
14,29,Directed,11.44
14,22,Directed,11.19
14,33,Directed,10.93
14,19,Directed,10.67
14,17,Directed,10.42
14,23,Directed,10.16
14,8,Directed,9.9
14,2,Directed,9.64
14,11,Directed,9.39
14,12,Directed,9.13
14,6,Directed,8.87
14,31,Directed,8.61
14,34,Directed,8.36
14,28,Directed,8.1
14,3,Directed,7.84
14,4,Directed,7.59
14,35,Directed,7.33
14,40,Directed,7.07
14,39,Directed,6.81
14,37,Directed,6.56
14,32,Directed,6.3
14,24,Directed,6.04
14,21,Directed,5.78
14,30,Directed,5.53
41,19,Directed,10.89
15,19,Directed,10.55
14,19,Directed,10.22
42,19,Directed,9.89
29,19,Directed,9.55
9,19,Directed,9.22
12,19,Directed,8.89
8,19,Directed,8.56
38,19,Directed,8.22
25,19,Directed,7.89
18,19,Directed,7.56
4,19,Directed,7.22
6,19,Directed,6.89
33,19,Directed,6.56
17,19,Directed,6.22
22,19,Directed,5.89
3,19,Directed,5.56
2,19,Directed,5.23
37,19,Directed,4.89
39,19,Directed,4.55
11,19,Directed,4.22
31,19,Directed,3.89
23,19,Directed,3.56
34,19,Directed,3.22
21,19,Directed,2.89
40,19,Directed,2.56
30,19,Directed,2.2
28,19,Directed,1.95
35,19,Directed,1.61
32,19,Directed,1.1
42,27,Directed,10.65
41,27,Directed,10.17
29,27,Directed,9.69
15,27,Directed,9.22
38,27,Directed,8.74
22,27,Directed,8.26
8,27,Directed,7.79
14,27,Directed,7.31
25,27,Directed,6.83
9,27,Directed,6.36
37,27,Directed,5.88
33,27,Directed,5.4
12,27,Directed,4.93
3,27,Directed,4.45
11,27,Directed,3.97
21,27,Directed,3.5
35,27,Directed,3.04
29,41,Directed,12.72
29,42,Directed,12.45
29,38,Directed,12.19
29,15,Directed,11.92
29,25,Directed,11.65
29,33,Directed,11.39
29,14,Directed,11.12
29,19,Directed,10.86
29,23,Directed,10.59
29,9,Directed,10.32
29,2,Directed,10.06
29,18,Directed,9.79
29,8,Directed,9.53
29,11,Directed,9.26
29,22,Directed,8.99
29,6,Directed,8.73
29,37,Directed,8.46
29,17,Directed,8.2
29,12,Directed,7.93
29,34,Directed,7.66
29,3,Directed,7.4
29,31,Directed,7.13
29,4,Directed,6.87
29,39,Directed,6.6
29,35,Directed,6.33
34,41,Directed,11.1
34,42,Directed,10.77
34,25,Directed,10.44
34,15,Directed,10.11
34,11,Directed,9.78
34,14,Directed,9.44
34,38,Directed,9.11
34,22,Directed,8.78
34,19,Directed,8.45
34,39,Directed,8.12
34,2,Directed,7.79
34,6,Directed,7.46
34,29,Directed,7.12
34,8,Directed,6.79
34,18,Directed,6.46
34,33,Directed,6.13
34,3,Directed,5.8
34,12,Directed,5.47
34,21,Directed,5.14
34,37,Directed,4.8
34,40,Directed,4.48
34,30,Directed,4.14
34,17,Directed,3.81
34,35,Directed,3.47
34,31,Directed,3.14
34,9,Directed,2.83
34,23,Directed,2.48
34,28,Directed,2.2
18,35,Directed,12.28
33,35,Directed,11.95
22,35,Directed,11.63
42,35,Directed,11.3
41,35,Directed,10.97
14,35,Directed,10.65
11,35,Directed,10.32
15,35,Directed,9.99
29,35,Directed,9.66
2,35,Directed,9.34
38,35,Directed,9.01
39,35,Directed,8.68
8,35,Directed,8.35
25,35,Directed,8.03
3,35,Directed,7.7
40,35,Directed,7.37
9,35,Directed,7.04
30,35,Directed,6.72
31,35,Directed,6.39
