Source,Target,Type,Weight
2,42,Directed,10.5
2,41,Directed,10.2
2,33,Directed,10
2,18,Directed,9.7
2,22,Directed,9.4
2,29,Directed,9.1
2,14,Directed,8.9
2,30,Directed,8.6
2,11,Directed,8.3
2,15,Directed,8
2,39,Directed,7.7
2,38,Directed,7.5
2,9,Directed,7.2
2,40,Directed,6.9
2,8,Directed,6.6
2,25,Directed,6.4
2,6,Directed,6.1
2,35,Directed,5.8
2,34,Directed,5.5
2,19,Directed,5.3
2,37,Directed,5
2,12,Directed,4.7
2,21,Directed,4.4
2,23,Directed,4.1
2,24,Directed,3.9
2,3,Directed,3.6
2,31,Directed,3.3
2,17,Directed,3
2,32,Directed,2.8
2,4,Directed,2.5
2,28,Directed,2.2
5,41,Directed,11.4
5,29,Directed,11.1
5,25,Directed,10.8
5,14,Directed,10.5
5,38,Directed,10.2
5,42,Directed,9.9
5,15,Directed,9.6
5,22,Directed,9.3
5,19,Directed,9
5,18,Directed,8.7
5,33,Directed,8.4
5,11,Directed,8.1
5,9,Directed,7.8
5,31,Directed,7.5
5,12,Directed,7.2
5,3,Directed,6.9
5,23,Directed,6.6
5,35,Directed,6.3
5,4,Directed,6
5,21,Directed,5.7
5,37,Directed,5.4
5,2,Directed,5
5,34,Directed,4.7
5,40,Directed,4.4
5,39,Directed,4.1
5,8,Directed,3.8
5,17,Directed,3.5
5,28,Directed,3.2
5,6,Directed,2.9
5,32,Directed,2.6
5,24,Directed,2.3
5,30,Directed,1.9
42,7,Directed,8
41,7,Directed,7.6
9,7,Directed,7.2
4,7,Directed,6.7
14,7,Directed,6.3
3,7,Directed,5.9
29,7,Directed,5.4
22,7,Directed,5
15,7,Directed,4.6
8,7,Directed,4.1
38,7,Directed,3.7
18,7,Directed,3.3
37,7,Directed,2.8
19,7,Directed,2.4
35,7,Directed,1.9
25,7,Directed,1.6
39,7,Directed,1.1
11,7,Directed,0.7
2,7,Directed,0
33,7,Directed,0
40,7,Directed,0
8,42,Directed,12.4
8,41,Directed,12.2
8,18,Directed,11.9
8,33,Directed,11.6
8,38,Directed,11.4
8,22,Directed,11.1
8,15,Directed,10.9
8,14,Directed,10.6
8,39,Directed,10.3
8,19,Directed,10.1
8,11,Directed,9.8
8,6,Directed,9.6
8,2,Directed,9.3
8,31,Directed,9
8,25,Directed,8.8
8,35,Directed,8.5
8,29,Directed,8.3
8,21,Directed,8
8,17,Directed,7.7
8,23,Directed,7.5
8,40,Directed,7.2
8,30,Directed,6.9
14,41,Directed,13
14,42,Directed,12.8
14,15,Directed,12.5
14,38,Directed,12.3
14,25,Directed,12.1
14,22,Directed,11.8
14,29,Directed,11.6
14,18,Directed,11.3
14,33,Directed,11.1
14,19,Directed,10.9
14,17,Directed,10.6
14,23,Directed,10.4
14,9,Directed,10.1
14,11,Directed,9.9
14,31,Directed,9.7
14,2,Directed,9.4
14,6,Directed,9.2
14,35,Directed,8.9
14,8,Directed,8.7
14,39,Directed,8.5
14,34,Directed,8.2
14,3,Directed,8
14,37,Directed,7.7
14,28,Directed,7.5
14,40,Directed,7.3
14,21,Directed,7
14,4,Directed,6.8
14,12,Directed,6.5
14,32,Directed,6.3
14,24,Directed,6.1
14,30,Directed,5.8
41,19,Directed,12.7
42,19,Directed,12.4
15,19,Directed,12.1
14,19,Directed,11.8
29,19,Directed,11.5
9,19,Directed,11.2
12,19,Directed,10.9
38,19,Directed,10.5
8,19,Directed,10.2
22,19,Directed,9.9
25,19,Directed,9.6
3,19,Directed,9.3
37,19,Directed,9
33,19,Directed,8.7
6,19,Directed,8.4
4,19,Directed,8.1
17,19,Directed,7.8
23,19,Directed,7.5
40,19,Directed,7.1
18,19,Directed,6.8
2,19,Directed,6.5
34,19,Directed,6.2
31,19,Directed,5.9
11,19,Directed,5.6
39,19,Directed,5.3
21,19,Directed,5
