id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1,All reporting countries,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.004568579325291507,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,Australia,,7,30,37,50.0,232.79999990463256,282.79999990463256,0.16411804,0.35423464,7,0.005449094525191559,1,27,0.2234848439693451,0.1341417655228382,2.0,0.9411764705882353,0.96875,4.1000000000000005
3,Austria,,8,2,10,58.900000000000006,16.9,75.80000000000001,0.18803938,0.031482298,8,0.005705790823314334,1,7,0.6555555462837219,0.16110977481476002,1.0,1.0,1.0,0.0
4,Bahamas,,8,1,9,67.6,8.3,75.89999999999999,0.18803938,0.015923524,9,0.0058645952940371724,1,6,0.6805555820465088,0.16110977481476002,2.0,0.6666666666666666,0.75,0.0
5,Belgium,,0,32,32,0.0,216.2,216.2,0.0,0.37469333,8,0.004568579325291507,1,28,0.2197580635547638,0.0,2.0,0.9705882352941176,0.9848484848484849,0.0
6,Bermuda,,7,2,9,56.099999999999994,12.9,69.0,0.16887029,0.031482298,8,0.005543231013309539,1,14,0.7083333134651184,0.15936765633544955,1.0,1.0,1.0,0.0
7,Brazil,,0,23,23,0.0,121.30000000000001,121.30000000000001,0.0,0.2838616,9,0.004568579325291507,1,29,0.31620553135871887,0.0,2.0,0.7674418604651163,0.8484848484848485,0.0
8,Canada,,8,3,11,64.4,24.5,88.9,0.18803938,0.0404851,9,0.005779022529149264,1,22,0.581818163394928,0.16110977481476002,1.0,1.0,1.0,0.3111111111111111
9,Cayman Islands,,8,2,10,84.2,17.9,102.1,0.18803938,0.031482298,8,0.006176149039178232,1,15,0.6555555462837219,0.16110977481476002,1.0,1.0,1.0,0.0
10,Chile,,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.004568579325291507,2,30,0.0,0.0,0.0,0.0,0.0,0.0
11,China,,8,3,11,56.5,24.2,80.7,0.18803938,0.0404851,7,0.005611492627177806,1,20,0.581818163394928,0.16110977481476002,1.0,1.0,1.0,0.3111111111111111
12,Denmark,,8,2,10,55.7,14.2,69.9,0.18803938,0.031482298,8,0.005552747451267333,1,12,0.6555555462837219,0.16110977481476002,1.0,1.0,1.0,0.0
13,Finland,,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0.004568579325291507,3,31,0.0,0.0,0.0,0.0,0.0,0.0
14,France,,6,32,38,65.5,308.4,373.9,0.1388403,0.3743203,8,0.005799826646954435,1,27,0.2183600664138794,0.11135627412630734,1.0,1.0,1.0,4.3
15,Germany,,8,3,11,88.7,31.900000000000002,120.60000000000001,0.18803938,0.0404851,9,0.0062161525691416565,1,26,0.581818163394928,0.16110977481476002,1.0,1.0,1.0,0.3111111111111111
16,Greece,,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0.004568579325291507,4,32,0.0,0.0,0.0,0.0,0.0,0.0
17,Guernsey,,6,1,7,49.199999999999996,9.0,58.199999999999996,0.14617531,0.015923524,8,0.0053917399915077106,1,5,0.7142857313156128,0.13239964704352788,2.0,0.6666666666666666,0.75,0.0
18,Hong Kong,,8,2,10,77.4,19.9,97.30000000000001,0.18803938,0.031482298,7,0.005996913783015383,1,25,0.6555555462837219,0.16110977481476002,1.0,1.0,1.0,0.0
19,Ireland,,32,1,33,324.4999994277954,8.4,332.89999942779536,0.23580018,0.015558773,8,0.3957517191955093,1,1,0.23689515888690948,1.0,1.0,1.0,1.0,5.0
20,Isle of Man,,0,0,0,0.0,0.0,0.0,0.0,0.0,4,0.004568579325291507,5,33,0.0,0.0,0.0,0.0,0.0,0.0
21,Israel,,6,2,8,42.6,11.8,54.400000000000006,0.14753327,0.031482298,7,0.005291378611147035,1,13,0.6785714030265808,0.13239964704352788,1.0,1.0,1.0,0.0
22,Japan,,8,3,11,81.6,29.799999999999997,111.39999999999999,0.18803938,0.0404851,9,0.006106401997272452,1,24,0.581818163394928,0.16110977481476002,1.0,1.0,1.0,0.3111111111111111
23,Jersey,,7,1,8,66.2,7.7,73.9,0.16887029,0.015923524,8,0.005705615480590421,1,4,0.75,0.15936765633544955,2.0,0.6666666666666666,0.75,0.0
24,Jordan,,5,0,5,30.400000000000006,0.0,30.400000000000006,0.124838285,0.0,7,0.005067763220865591,1,10,0.75,0.10543163775160645,0.0,0.0,0.0,0.0
25,Luxembourg,,8,2,10,76.7,17.5,94.2,0.18803938,0.031482298,8,0.00595758746330258,1,11,0.6555555462837219,0.16110977481476002,1.0,1.0,1.0,0.0
26,Macao,,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.004568579325291507,6,34,0.0,0.0,0.0,0.0,0.0,0.0
