id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1,All reporting countries,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.008168841832307401,0,0,0.0,0.0
2,Australia,,8,31,39,58.1,207.89999980926513,265.99999980926515,2.0,0.9696969696969697,0.984375,7.731203007518796,0.16911335,0.35307008,5,0.010241308132072512,1,26,0.250946968793869,0.17453360521344824
3,Austria,,8,3,11,56.4,18.0,74.4,1.0,1.0,1.0,0.14786967418546365,0.17787625,0.04268976,3,0.010321703150000522,1,6,0.6000000238418579,0.17453360521344824
4,Bahamas,,7,1,8,52.7,7.6,60.300000000000004,3.0,0.5,0.611111111111111,0.0,0.1559275,0.016086603,9,0.010097345627005984,1,3,0.6607142686843872,0.14870513507623642
5,Belgium,,0,32,32,0.0,241.4,241.4,2.0,0.9705882352941176,0.9848484848484849,0.0,0.0,0.36080873,3,0.008168841832307401,1,27,0.2348790317773819,0.0
6,Bermuda,,9,2,11,59.199999999999996,11.7,70.89999999999999,2.0,0.75,0.8333333333333334,0.0,0.19230661,0.031750243,3,0.010283914565821752,1,16,0.6727272868156433,0.20447665434267562
7,Brazil,,0,24,24,0.0,111.8,111.8,2.0,0.7857142857142857,0.8636363636363636,0.0,0.0,0.2908232,9,0.008168841832307401,1,28,0.33152174949645996,0.0
8,Canada,,8,18,26,65.49999999999999,204.4000003814697,269.9000003814697,2.0,0.6956521739130435,0.78125,1.081203007518797,0.17787625,0.2196718,5,0.010580231333771633,1,26,0.38528138399124146,0.17453360521344824
9,Cayman Islands,,8,3,11,71.89999999999999,26.6,98.5,1.0,1.0,1.0,0.14786967418546365,0.17787625,0.04268976,9,0.010836994882318804,1,15,0.6000000238418579,0.17453360521344824
10,Chile,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.008168841832307401,2,29,0.0,0.0
11,China,,9,3,12,74.5,18.8,93.3,1.0,1.0,1.0,0.14786967418546365,0.19230661,0.04268976,5,0.011008130203633462,1,19,0.6136363744735718,0.20447665434267562
12,Denmark,,8,3,11,45.699999999999996,20.6,66.3,1.0,1.0,1.0,0.14786967418546365,0.17787625,0.04268976,3,0.009784473525592658,1,8,0.6000000238418579,0.17453360521344824
13,Finland,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.008168841832307401,3,30,0.0,0.0
14,France,,7,32,39,71.8,322.50000019073485,394.30000019073486,1.0,1.0,1.0,4.731203007518797,0.15412109,0.36162397,3,0.010942441012813038,1,26,0.24153298139572144,0.14870513507623642
15,Germany,,9,3,12,96.2,29.9,126.1,1.0,1.0,1.0,0.14786967418546365,0.19230661,0.04268976,9,0.011807023019950421,1,24,0.6136363744735718,0.20447665434267562
16,Greece,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.008168841832307401,4,31,0.0,0.0
17,Guernsey,,6,2,8,37.2,7.699999999999999,44.900000000000006,2.0,0.75,0.8333333333333334,0.09523809523809523,0.13664702,0.02702612,3,0.009462657298139917,1,4,0.625,0.14303832187316348
18,Hong Kong,,9,2,11,84.0,20.7,104.7,2.0,0.75,0.8333333333333334,0.0,0.19230661,0.031750243,5,0.011353973156022719,1,20,0.6727272868156433,0.20447665434267562
19,Ireland,,32,1,33,287.0000001907349,6.2,293.2000001907349,2.0,0.6666666666666666,0.75,8.0,0.24488543,0.01566364,3,0.1924232750948333,1,2,0.2510080635547638,1.0
20,Isle of Man,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.008168841832307401,5,32,0.0,0.0
21,Israel,,7,2,9,42.6,9.2,51.8,2.0,0.75,0.8333333333333334,0.09523809523809523,0.1528467,0.02702612,9,0.009703427452145398,1,7,0.6388888955116272,0.17298137100239086
22,Japan,,9,3,12,86.8,25.1,111.9,1.0,1.0,1.0,0.14786967418546365,0.19230661,0.04268976,5,0.011484429345465978,1,21,0.6136363744735718,0.20447665434267562
23,Jersey,,7,1,8,55.199999999999996,9.2,64.39999999999999,3.0,0.5,0.611111111111111,0.0,0.15877202,0.016086603,3,0.010012286465439096,1,11,0.7678571343421936,0.17298137100239086
24,Jordan,,6,1,7,27.900000000000002,4.1,32.0,2.0,0.6,0.6666666666666666,0.0,0.13841633,0.01566364,9,0.00910782075327285,1,9,0.738095223903656,0.14303832187316345
25,Luxembourg,,9,3,12,86.4,19.4,105.80000000000001,1.0,1.0,1.0,0.14786967418546365,0.19230661,0.04268976,3,0.011378243539673738,1,23,0.6136363744735718,0.20447665434267562
